logo,link,club_name,description,categoryID
https://go.sfss.ca/clubs/390/logo/thumb,https://go.sfss.ca/clubs/390/info,350 - SFU,"To raise awareness among students, faculty, and alumni about SFU's role in mitigating climate change.",3.0
https://go.sfss.ca/clubs/720/logo/thumb,https://go.sfss.ca/clubs/720/info,3DMAC,"3DMAC is a club specializing in 3D modelling and animation using a variety of software. By providing resources and online tutorials, projects and weekly activities, our goal is to create an environment where artists of all levels can bring their ideas to life. Come check  out our Facebook group to see what we’re about!",9.0
https://go.sfss.ca/clubs/123/logo/thumb,https://go.sfss.ca/clubs/123/info,Accounting Student Association - SFU,"The SFU Accounting Student Association (ASA) is an organization made up of highly-dedicated students with the mission of assisting student towards their professional life. In order to accomplish this mission, our association provides three types of services: facilitation of information and networking, self-growth, and fellowship.",4.0
https://go.sfss.ca/clubs/101/logo/thumb,https://go.sfss.ca/clubs/101/info,AIESEC,"The world's largest student-run non-profit organization, developing leadership in youth through cross-cultural volunteer and internehip exchanges.",4.0
https://go.sfss.ca/clubs/33/logo/thumb,https://go.sfss.ca/clubs/33/info,AKCSE,The Association of Korean Canadian Scientists and Engineers promotes interest in the area of science and engineering.,11.0
https://go.sfss.ca/clubs/169/logo/thumb,https://go.sfss.ca/clubs/169/info,ALAS (Association of Latin American Students),"Provide a space of entertainment and learning for Latin American students and those who love the Latino culture. We want to promote a space that cherish our multicultural community, while fostering an environment of respect and growth.",6.0
https://go.sfss.ca/clubs/380/logo/thumb,https://go.sfss.ca/clubs/380/info,Alpha Kappa Psi,"""Providing resources for enhancing the educational experience of future business leaders.""",11.0
https://go.sfss.ca/clubs/56/logo/thumb,https://go.sfss.ca/clubs/56/info,Altered Reality Club,"SFU's premiere gaming and nerd culture club. We serve as SFU's source for gaming and tabletop activities. We are dedicated to providing an environment where SFU students interested in video games, board games and tabletop RPG's (Dungeons&Dragons, Dark Heresy, Call of Cthulu etc.) can meet and discuss such topics as well as gain new friends.",8.0
https://go.sfss.ca/clubs/356/logo/thumb,https://go.sfss.ca/clubs/356/info,Anime Club - SFU,"To bring together like-minded students who wish to share their appreciation for anime and manga, and related interests/hobbies.",8.0
https://go.sfss.ca/clubs/776/logo/thumb,https://go.sfss.ca/clubs/776/info,Arab Students' Association,"The Arab Students' Association is here to celebrate the diverse cultures and experiences that unite under a collective Arab identity. The ASA aims at bringing together SFU's Arab students and all those who identify or connect with an Arab society. By holding a variety of cultural events, we also invite the broader community to engage with us.",6.0
https://go.sfss.ca/clubs/819/logo/thumb,https://go.sfss.ca/clubs/819/info,Association for Critical and Interdisciplinary Thinking (ACIT),"ACIT connects motivated and open-minded people with interdisciplinary interests. It serves as a network between students from different universities and different academic backgrounds. At our SFU branch, we are dedicated to promoting educational empowerment through workshops and seminars.",5.0
https://go.sfss.ca/clubs/68/logo/thumb,https://go.sfss.ca/clubs/68/info,Aviation - SFU,SFU Aviation aims to support members by bridging members interested in aviation to actually pursuing a career or recreation within the industry. SFU Aviation seeks to provide a niche community where like-minded individuals can connect and thrive together.,8.0
https://go.sfss.ca/clubs/836/logo/thumb,https://go.sfss.ca/clubs/836/info,Axis Consulting,"Axis Consulting is a student-led pro-bono consultancy. We help businesses build their capabilities and empower non-for-profits to create a positive impact for our community. At Axis Consulting, we seamlessly integrate strategy, data, insights, and expertise to drive value for our clients.",4.0
https://go.sfss.ca/clubs/802/logo/thumb,https://go.sfss.ca/clubs/802/info,Backpacking Club,"To bring together a community of experienced hikers to tackle difficult and ambitious hikes, including those lasting for 2 or more days. Our focus is on providing the additional support, supplies, and planning required for these challenging but rewarding adventures.",8.0
https://go.sfss.ca/clubs/862/logo/thumb,https://go.sfss.ca/clubs/862/info,Balkan Students' Association,"Open to all nationalities and faiths, SFU Balkan Students' Association aims to preserve the diverse Balkan cultures and unite SFU students of the diaspora.",6.0
https://go.sfss.ca/clubs/835/logo/thumb,https://go.sfss.ca/clubs/835/info,Ban the Bottle SFU,"The Ban the Bottle group is a collective of students focused on environmental action, specifically related to water resources and single-use plastics.",3.0
https://go.sfss.ca/clubs/485/logo/thumb,https://go.sfss.ca/clubs/485/info,Bangladesh Students' Alliance,Promote the heritage of Bangladesh at SFU. Provide assistance to both new and existing students from Bangladesh. Organize social & cultural events to create a multicultural acquaintanceship within the SFU community.,6.0
https://go.sfss.ca/clubs/827/logo/thumb,https://go.sfss.ca/clubs/827/info,Better Life,"“Better Life” at SFU aims for raising awareness for critical issues such as food and clothing waste in the SFU community, and broader Vancouver area. Better Life hopes to educate, motivate and initiate collective reductions in food waste, in addition to increasing food, clothing, and money donations to those in need.",7.0
https://go.sfss.ca/clubs/544/logo/thumb,https://go.sfss.ca/clubs/544/info,Bhangra - SFU,"To spread and promote health and well being as well as provide students with an avenue to connect with their artistic side as well as getting a great cardiovascular workout through the wonderful dance of Bhangra. Great for people of all cultures, backgrounds and dance levels.",9.0
https://go.sfss.ca/clubs/544/logo/thumb,https://go.sfss.ca/clubs/544/info,Bhangra - SFU,"To spread and promote health and well being as well as provide students with an avenue to connect with their artistic side as well as getting a great cardiovascular workout through the wonderful dance of Bhangra. Great for people of all cultures, backgrounds and dance levels.",12.0
https://go.sfss.ca/clubs/75/logo/thumb,https://go.sfss.ca/clubs/75/info,Board Game Club,"Play board games such as Coup, Deception, and Red Dragon Inn, among many other favorites. Also, for friendship.",8.0
https://go.sfss.ca/clubs/856/logo/thumb,https://go.sfss.ca/clubs/856/info,Bowling 300,To provide an opportunity for students on campus to learn about the leisure activity of bowling and improve their skills through participation. We hope to make every interaction with this club a STRIKE!,8.0
https://go.sfss.ca/clubs/800/logo/thumb,https://go.sfss.ca/clubs/800/info,Brain in Mind,"As a student run club, students within the SFU community work together to plan and present events that inform the community of neurological disorders (particularly epilepsy) as well as provide volunteer opportunities to help out the greater community.",3.0
https://go.sfss.ca/clubs/60/logo/thumb,https://go.sfss.ca/clubs/60/info,Burnaby Mountain Toastmasters,This club aims at improving members' public speaking skills and expanding their social network.,11.0
